Index,organism,causal_gene_name,Arabidopsis_thaliana,Glycine_max,Brassica_rapa,Solanum_lycopersicum,Oryza_sativa_Japonica,Oryza_sativa_Indica,Setaria_italica,Zea_mays,Sorghum_bicolor,Brachypodium_distachyon,Hordeum_vulgare,ortholog group,Trait,Trait_Category
131,Rye,ALT4 ,"AT3G11680,AT1G08440,AT2G27240","GLYMA12G09980.1,GLYMA19G38710.2,GLYMA03G36060.1,GLYMA11G18300.1","Bra034819,Bra030726,Bra018625,Bra034339,Bra038672","Solyc10G081890.1.1,Solyc11G068970.1.1",LOC_Os04g34010.1,,"Si015195m,Si012333m,Si012669m,Si033923m,Si035628m","GRMZM5G858653,AC233887.1_FGP005",Sb06g016260.1,BRADI5G09690.1,,ENOG411BFQE,Metal_tolerance,abiotic_stress_response
132,Ryegrass,Flowering locus T (LpFT3),"AT2G27550.1,AT5G03840.1","GLYMA03G35250.1,GLYMA10G08340.1,GLYMA12G30940.2,GLYMA13G22030.1,GLYMA13G39360.2,GLYMA19G37890.1,GLYMA20G02845.1","Bra000506.1-P,Bra005783.1-P,Bra009508.1-P,Bra012010.1-P,Bra028815.1-P,Bra034357.1-P",Solyc09g009560.1.1,LOC_Os11g05470.1,BGIOSGA034481-PA,Si028168m,"GRMZM2G092008,GRMZM2G338454",Sb08g003210.1,BRADI4G42400.1,"MLOC_35818.3,MLOC_44160.1",KOG3346,Flowering_time,development
133,Ryegrass,VRN1,"AT5G60910.1,AT1G69120.1,AT1G26310.1","GLYMA06G22650.2,GLYMA04G31847.1","Bra011021.1-P,Bra004361,Bra029347",Solyc03G114830.2.1,"LOC_Os03g54160.1,LOC_Os07g01820.1","BGIOSGA024961-PA,BGIOSGA009798-PA",Si030802m,"GRMZM2G148693,GRMZM2G032339,GRMZM2G553379,GRMZM2G072582","Sb01g007790.1,Sb02g001090.1","BRADI1G59250.1,BRADI1G08340.1",MLOC_61901.1,ENOG411BFD5,Flowering_time,development
134,Capsella_rubella,FLC (Flowering Locus C),At5G10140,"GLYMA05G28130.1,GLYMA08G11110.1","Bra028599,Bra006051.1-P,Bra009055.1-P",,,,,,,,,ENOG411BUQE,Flowering_time,development
135,Antirrhinum_majus,ROSEA1,AT1G66370.1,"GLYMA09G36983.1,GLYMA19G02980.2,GLYMA09G36966.1,GLYMA18G49690.1,GLYMA09G37010.2,GLYMA18G49670.2","Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
136,Sorghum_bicolor,PRR37 ,,,,,,,,GRMZM2G005732,Sb06g014570,,MLOC_24308.1,COG5641,Flowering_time,development
137,Sorghum_bicolor,phytochrome B (PHYB),"AT2G18790.1,AT4G16250.1","GLYMA09G03990.1,GLYMA15G14980.1",Bra022192.1-P,"Solyc01g059870.2.1,Solyc05g053410.2.1",LOC_Os03g19590.1,,Si033968m,GRMZM2G092174,Sb01g037340.1,BRADI1G64360.1,MLOC_9834.1,COG4251,Light_sensitivity,abiotic_stress_response
138,Sorghum_bicolor,MATE1/AltSB/SbMATE,AT3G08040.1,"GLYMA09G15550.2,GLYMA12G36610.1,GLYMA12G36620.2,GLYMA13G27300.2,GLYMA15G43021.1","Bra001282.1-P,Bra001283.1-P,Bra029694.1-P,Bra040047.1-P",Solyc01g087150.2.1,LOC_Os01g69010.1,BGIOSGA005059-PA,,,Sb03g043890.1,,,COG0534,Metal_tolerance,abiotic_stress_response
139,Sorghum_bicolor,ds1,"AT3G47090,AT3G47570,AT3G47580,AT5G20480,AT3G47110","GLYMA09G35090.2,GLYMA07G17910.2,GLYMA18G42770.2,GLYMA01G35561.1,GLYMA14G06580.1,GLYMA09G05550.1,GLYMA03G23780.1,GLYMA07G19180.1,GLYMA09G35140.1,GLYMA01G20885.1,GLYMA14G06570.1,GLYMA13G34310.2","Bra005563,Bra018128,Bra022422,Bra007256,Bra035694,Bra036778,Bra006717,Bra015204,Bra035695,Bra037076,Bra021289,Bra002305.1-P,Bra027572,Bra018164,Bra005562,Bra006560","Solyc07G018190.2.1,Solyc10G085120.1.1,Solyc07G018180.1.1,Solyc03G019980.1.1,Solyc06G076910.1.1,Solyc04G009040.2.1","LOC_Os02g40240.1,LOC_Os11g36140.1,LOC_Os08g14990.1,LOC_Os11g36150.1,LOC_Os07g03000.1,LOC_Os11g07260.1,LOC_Os11g07180.1,LOC_Os11g07270.1,LOC_Os10g19160.1,LOC_Os11g36090.1,LOC_Os11g07060.1,LOC_Os12g42520.1,LOC_Os11g29790.1,LOC_Os01g05870.1,LOC_Os11g07225.1,LOC_Os11g07160.1,LOC_Os01g05980.1,LOC_Os01g05960.1,LOC_Os01g05640.1,LOC_Os08g14950.1,LOC_Os11g07100.1,LOC_Os09g16950.1,LOC_Os01g33950.1,LOC_Os08g14940.1,LOC_Os01g05940.1,LOC_Os11g07230.1,LOC_Os11g07200.1","BGIOSGA035283-PA,BGIOSGA033781-PA,BGIOSGA030549-PA,BGIOSGA033780-PA,BGIOSGA034901-PA,BGIOSGA003663-PA,BGIOSGA034889-PA,BGIOSGA034899-PA,BGIOSGA028289-PA,BGIOSGA038145-PA,BGIOSGA032723-PA,BGIOSGA002807-PA,BGIOSGA002390-PA,BGIOSGA034892-PA","Si025889m,Si000144m,Si016173m,Si021054m,Si000145m,Si025872m,Si025352m,Si004924m,Si024978m,Si028784m,Si032682m,Si015772m,Si000199m,Si027658m,Si032212m,Si013152m,Si005767m,Si004977m,Si016201m,Si000143m,Si028287m,Si025888m,Si028791m,Si028003m","GRMZM2G322348,GRMZM2G123314,GRMZM2G015406,GRMZM2G178753,GRMZM2G389948,GRMZM2G026943,GRMZM2G048801,GRMZM2G456669",Sb05g005490,"BRADI2G00540.1,BRADI1G29792.1,BRADI3G48790.1,BRADI4G03650.1,BRADI5G25117.1,BRADI4G03660.1,BRADI1G47990.1,BRADI4G24410.1,BRADI4G24457.1,BRADI3G48760.1,BRADI4G16130.1,BRADI5G15027.1,BRADI3G49640.1,BRADI4G08300.1","MLOC_55967.1,MLOC_37499.1,MLOC_56473.2,MLOC_73066.1,MLOC_81219.2,MLOC_17010.1,MLOC_16613.8,MLOC_80515.1,MLOC_10527.1,MLOC_12033.1,MLOC_20132.1",ENOG410IH5R,Pathogen_resistance,biotic_stress_response
140,Sorghum_bicolor,Sh1,AT1G08465.1,"GLYMA06G46560.1,GLYMA12G10210.3,GLYMA13G38750.1","Bra018624.1-P,Bra030728.1-P,Bra031629.1-P","Solyc11g071810.1.1,Solyc06g073920.2.1",LOC_Os03g44710.1,"BGIOSGA037817-PA,BGIOSGA013223-PA",,GRMZM2G074124,,BRADI1G13570.1,MLOC_70676.2,ENOG410YHWI,Seed_shattering,development
141,Glycine_max,BADH2,AT1G74920.1,"GLYMA05G01770.1,GLYMA06G19820.1,GLYMA17G10120.1",Bra003781.1-P,"Solyc03g113800.2.1,Solyc06g071290.2.1","LOC_Os04g39020.1,LOC_Os08g32870.1","BGIOSGA014941-PA,BGIOSGA028697-PA","Si009902m,Si013592m","GRMZM2G013214,GRMZM2G016189,GRMZM2G135470,GRMZM2G146754,GRMZM2G350397,GRMZM2G365483","Sb06g019200.1,Sb06g019210.1,Sb07g020650.1","BRADI3G36150.1,BRADI5G12617.1","MLOC_1705.1,MLOC_66224.1",COG1012,Fragrance,color_texture_flavor_and_fragrance
142,Glycine_max,TFL1/GmTFL1,"AT2G27550.1,AT5G03840.1","GLYMA03G35250.1,GLYMA10G08340.1,GLYMA12G30940.2,GLYMA13G22030.1,GLYMA13G39360.2,GLYMA19G37890.1,GLYMA20G02845.1","Bra000506.1-P,Bra005783.1-P,Bra009508.1-P,Bra012010.1-P,Bra028815.1-P,Bra034357.1-P",Solyc09g009560.1.1,LOC_Os11g05470.1,BGIOSGA034481-PA,Si028168m,"GRMZM2G092008,GRMZM2G338454",Sb08g003210.1,BRADI4G42400.1,"MLOC_35818.3,MLOC_44160.1",KOG3346 ,Growth_determination_habit,development
143,Glycine_max,SHMT / Rgh4,"AT4G13890.1,AT4G13930.1",GLYMA08G11490,"Bra014001.1-P,Bra022129.1-P,Bra032749.1-P","Solyc05g053810.2.1,Solyc12g098490.1.1","LOC_Os11g26860.1,LOC_Os12g22030.1","BGIOSGA022876-PA,BGIOSGA035211-PA,BGIOSGA036327-PA","Si001011m,Si021684m,Si026132m","GRMZM2G039238,GRMZM2G078143,GRMZM2G303113,GRMZM2G427836,GRMZM2G437487","Sb05g014880.1,Sb08g019520.1","BRADI4G08097.1,BRADI4G19470.1","MLOC_25218.1,MLOC_80158.1",COG0112,Parasite_resistance_(cyst_nematode),biotic_stress_response
144,Glycine_max,Rhg1,"AT3G51740.1,AT3G56100.1",GLYMA18G02681,"Bra014708.1-P,Bra027751.1-P,Bra038911.1-P,Bra003227.1-P",Solyc09G015170.2.1,"LOC_Os12g01700.1,LOC_Os11g01620.1,LOC_Os03g18630.1","BGIOSGA036861-PA,BGIOSGA034651-PA,BGIOSGA012425-PA","Si009399m,Si027926m,Si034267m","GRMZM2G066274,GRMZM2G089819","Sb05g000670.1,Sb08g000710.1,Sb01g038140.1","BRADI1G65110.1,BRADI4G44797.1","MLOC_71159.1,MLOC_70904.2",ENOG410IHIJ,Pathogen_resistance_(cyst_nematode),biotic_stress_response
145,Glycine_max,flavonoid 3-hydroxylase (F3'H),AT3G51240.1,GLYMA02G05450,"Bra012862.1-P,Bra036828.1-P",Solyc02g083860.2.1,LOC_Os04g56700.1,BGIOSGA014166-PA,Si022356m,GRMZM2G062396,Sb06g031790.1,BRADI5G25050.1,MLOC_64248.1,COG3491,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
146,Glycine_max,R/Glyma09g36990,AT1G66370.1,GLYMA09G36990.1,"Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,Plant_coloration_(seeds),color_texture_flavor_and_fragrance
147,strawberry,FaO-methyl-transferase (FaOMT),"AT1G21130,AT5G44450,AT1G51990,AT4G35150,AT1G21120,AT1G21110,AT5G37170,AT1G76790,AT1G77530,AT5G53810,AT1G77520,AT3G53140,AT5G54160,AT1G62900,AT1G63140,AT1G21130,AT4G35160,AT1G33030","GLYMA08G27260.1,GLYMA10G32010.1,GLYMA20G00590.1,GLYMA06G45043.1,GLYMA06G14210.1,GLYMA10G32020.1,GLYMA18G50290.1,GLYMA08G27090.1,GLYMA0335S00200.1,GLYMA14G38080.2,GLYMA07G05460.2,GLYMA09G12480.1,GLYMA20G31700.1,GLYMA06G14200.1,GLYMA17G16795.1,GLYMA14G38111.1,GLYMA20G35640.1,GLYMA06G43940.1,GLYMA10G32030.1,GLYMA14G00801.1,GLYMA12G13980.1,GLYMA20G35610.1,GLYMA14G38090.1,GLYMA18G50260.1,GLYMA06G14220.1,GLYMA18G49870.1,GLYMA18G50280.1,GLYMA09G41840.1,GLYMA08G08400.1,GLYMA09G41850.1,GLYMA15G38540.1,GLYMA04G40580.1,GLYMA07G05470.1,GLYMA08G27070.1,GLYMA12G12230.1,GLYMA06G43970.1,GLYMA06G44010.1,GLYMA04G40591.1,GLYMA08G27110.2,GLYMA05G25380.2,GLYMA09G12440.1,GLYMA20G31600.1,GLYMA07G05480.1,GLYMA11G36410.1,GLYMA13G33830.1,GLYMA10G31991.1,GLYMA11G21080.2,GLYMA02G39930.2,GLYMA18G50470.2,GLYMA10G35980.1,GLYMA19G45000.1,GLYMA14G38101.1,GLYMA20G35620.1,GLYMA20G00604.1,GLYMA13G24210.1,GLYMA20G35630.1","Bra003007,Bra033744,Bra007770,Bra029041,Bra035481,Bra019031,Bra025874,Bra008313,Bra015664,Bra025875,Bra017700,Bra017699,Bra016432,Bra012270,Bra027815,Bra010226,Bra012269,Bra003681,Bra040689,Bra003707,Bra026320,Bra003680,Bra006970,Bra012268,Bra027556,Bra035482,Bra008316,Bra038396,Bra025876,Bra016433,Bra015719,Bra022700,Bra003009,Bra034677,Bra003682,Bra034678,Bra033498,Bra033733,Bra011292","Solyc03g097700.2.1,Solyc12g041960.1.1,Solyc02g077520.2.1,Solyc03g080180.2.1,Solyc10g085840.1.1,Solyc01g111900.2.1,Solyc02g021690.2.1,Solyc10g085830.1.1,Solyc06g060200.1.1,Solyc06g007960.2.1,Solyc02g077530.1.1,Solyc12g041950.1.1,Solyc02g077510.2.1,Solyc06g083450.2.1,Solyc02g021700.2.1,Solyc10g079540.1.1,Solyc10g008120.2.1,Solyc06g064510.2.1,Solyc12g009110.1.1,Solyc01g068550.2.1,Solyc10g005060.2.1,Solyc12g041940.1.1,Solyc06g060220.1.1","LOC_Os01g54969.1,LOC_Os08g19420.1,LOC_Os12g10170.1,LOC_Os11g20160.1,LOC_Os07g27880.1,LOC_Os12g25820.1,LOC_Os11g20090.1,LOC_Os05g43930.1,LOC_Os04g01470.1,LOC_Os07g27970.1,LOC_Os04g09604.1,LOC_Os12g13800.1,LOC_Os11g20040.1,LOC_Os10g02840.1,LOC_Os12g10140.1,LOC_Os08g06100.1,LOC_Os12g25450.1,LOC_Os03g56830.1,LOC_Os11g20080.1,LOC_Os11g19790.1,LOC_Os11g33300.1,LOC_Os11g19840.1,LOC_Os08g07260.1,LOC_Os04g11970.1,LOC_Os04g09654.1,LOC_Os06g13280.1,LOC_Os05g43940.1,LOC_Os12g25490.1,LOC_Os04g09670.1,LOC_Os12g09770.1,LOC_Os06g16960.1,LOC_Os10g02880.1,LOC_Os04g09680.1,LOC_Os02g57760.1,LOC_Os09g17560.1,LOC_Os12g25860.1,LOC_Os07g28040.1,LOC_Os08g35310.1,LOC_Os11g12760.1,LOC_Os11g19880.1","BGIOSGA036256-PA,BGIOSGA036321-PA,BGIOSGA026883-PA,BGIOSGA025650-PA,BGIOSGA029815-PA,BGIOSGA032370-PA,BGIOSGA017727-PA,BGIOSGA015497-PA,BGIOSGA034244-PA,BGIOSGA027629-PA,BGIOSGA029945-PA,BGIOSGA024348-PA,BGIOSGA021451-PA,BGIOSGA024347-PA,BGIOSGA015988-PA,BGIOSGA035174-PA,BGIOSGA034103-PA,BGIOSGA036250-PA,BGIOSGA028390-PA,BGIOSGA028393-PA,BGIOSGA038010-PA,BGIOSGA015753-PA,BGIOSGA034101-PA,BGIOSGA036253-PA,BGIOSGA034104-PA,BGIOSGA038029-PA,BGIOSGA033855-PA,BGIOSGA032369-PA,BGIOSGA034109-PA,BGIOSGA015496-PA,BGIOSGA004474-PA,BGIOSGA036255-PA,BGIOSGA009324-PA,BGIOSGA009716-PA,BGIOSGA036346-PA,BGIOSGA034105-PA,BGIOSGA034106-PA,BGIOSGA006537-PA,BGIOSGA027626-PA,BGIOSGA015498-PA,BGIOSGA021563-PA,BGIOSGA036249-PA,BGIOSGA036252-PA","Si026528m,Si026538m,Si020906m,Si027972m,Si026529m,Si026576m,Si036181m,Si026548m,Si026569m,Si013977m,Si022455m,Si027844m,Si001865m,Si026523m,Si033336m,Si010429m,Si013966m,Si026639m,Si014900m,Si013957m,Si019162m,Si027971m,Si036239m,Si017577m,Si010415m,Si002181m,Si004902m,Si031882m,Si022421m,Si022355m,Si036467m,Si022422m,Si039431m,Si026526m,Si026536m","GRMZM2G311036,GRMZM2G059465,GRMZM2G141026,AC196475.3_FGP004,GRMZM2G093092,AC209819.3_FGP005,GRMZM2G177424,GRMZM2G423331,GRMZM2G127418,GRMZM2G349791,GRMZM2G106172,GRMZM2G124799,GRMZM2G336824,GRMZM2G023152,GRMZM2G147491,GRMZM2G140996,GRMZM2G408458,GRMZM2G102863,GRMZM2G091774,GRMZM2G017557,GRMZM2G082007,GRMZM2G041866,GRMZM2G097297,GRMZM2G100754,GRMZM2G104710,GRMZM2G104730,GRMZM2G085924,GRMZM2G101735,GRMZM5G811069,GRMZM2G099297","Sb09g025510.1,Sb03g034845.1,Sb05g010100.1,Sb04g036890.1,Sb10g027650.1,Sb07g004660.1,Sb05g026730.1,Sb01g033880.1,Sb10g027640.1,Sb01g042900.1,Sb05g008830.1,Sb10g027360.1,Sb01g015803.1,Sb0010S009900.1,Sb08g001245.1,Sb09g003740.1,Sb05g019040.1,Sb07g005970.1,Sb08g005125.1,Sb09g025570.1,Sb05g003780.1,Sb04g037820.1,Sb02g006640.1,Sb05g027340.1,Sb05g026710.1,Sb07g011460.1,Sb04g036900.1,Sb05g007043.1,Sb07g024270.1,Sb06g000820.1,Sb04g006885.1,Sb04g006880.1,Sb02g006645.1,Sb07g004680.1,Sb09g025540.1,Sb09g025530.1,Sb10g027340.1,Sb07g003860.1,Sb01g006290.1,Sb05g027330.1,Sb07g004690.1,Sb01g033245.1,Sb02g006485.1,Sb07g004710.1,Sb06g000816.1,Sb09g025550.1,Sb02g035230.1,Sb04g011090.1","BRADI4G28057.1,BRADI1G14870.1,BRADI2G19840.1,BRADI4G18065.1,BRADI1G06780.1,BRADI3G37551.1,BRADI4G20117.1,BRADI4G20127.1,BRADI1G47030.1,BRADI2G19830.1,BRADI1G22757.1,BRADI3G16530.1,BRADI3G55890.1,BRADI2G02380.1,BRADI2G19857.1,BRADI5G23720.1,BRADI1G47017.1,BRADI2G19850.1,BRADI2G02390.1,BRADI4G20020.1,BRADI3G20597.1","MLOC_53759.1,MLOC_56220.1,MLOC_69432.2,MLOC_51326.1,MLOC_34629.1,MLOC_66877.2,MLOC_66090.1,MLOC_14101.2,MLOC_63575.2,MLOC_78823.1,MLOC_12464.2,MLOC_54134.2,MLOC_76018.2,MLOC_69043.1,MLOC_65378.1,MLOC_75528.1,MLOC_17926.1,MLOC_51427.2,MLOC_57100.1,MLOC_68921.1,MLOC_39692.1,MLOC_37601.1,MLOC_76007.1,MLOC_19305.1,MLOC_38478.1,MLOC_31360.1,MLOC_20301.1,MLOC_39951.1,MLOC_55770.2,MLOC_73233.1,MLOC_77253.1",KOG3178,Fruit_flavor,color_texture_flavor_and_fragrance
148,beet,Hs1 = pro-1,"AT3G55840.1,AT2G40000.1","GLYMA11G35050.1,GLYMA18G03310.1","Bra004994.1-P,Bra007195.1-P,Bra017040.1-P,Bra000158.1-P",,LOC_Os01g63690.1,BGIOSGA000466-PA,Si001312m,"GRMZM2G003682,PCO075967",Sb03g040300.1,BRADI2G55310.1,MLOC_8529.1,ENOG410IFFH,Parasite_resistance_(nematodes),biotic_stress_response
149,Sunflower,Flowering locus T (FT1),"AT5G03840.1,AT5G62040.1,AT1G18100.1,AT4G20370.1,AT1G65480.1,AT2G27550.1","GLYMA08G47823.1,GLYMA16G32080.3,GLYMA18G53680.1,GLYMA05G34030.1,GLYMA02G07650.1,GLYMA08G47816.1,GLYMA19G28390.1,GLYMA16G26660.1,GLYMA16G26690.1,GLYMA19G37890.1","Bra009508.1-P,Bra025930.1-P,Bra012010.1-P,Bra034357.1-P,Bra031016.1-P,Bra005783.1-P,Bra028815.1-P,Bra004117.1-P,Bra022475.1-P,Bra000506.1-P,Bra015710.1-P,Bra010052.1-P","Solyc05g055660.1.1,Solyc11g008660.1.1,Solyc01g009580.1.1,Solyc03g063100.1.1,Solyc05g053850.2.1,Solyc01g009560.1.1,Solyc11g008640.1.1,Solyc02g079290.2.1,Solyc06g074350.2.1,Solyc09g009560.1.1,Solyc11g008650.1.1,Solyc03g119100.1.1,Solyc03g026050.2.1","LOC_Os04g33570.1,LOC_Os01g02120.1,LOC_Os06g06320.1,LOC_Os04g41130.1,LOC_Os11g18870.1,LOC_Os12g05590.1,LOC_Os12g13030.1,LOC_Os02g32950.1,LOC_Os02g39064.1,LOC_Os06g06300.1,LOC_Os11g05470.1,LOC_Os09g33850.1,LOC_Os02g13830.1,LOC_Os01g11940.1,LOC_Os01g10590.1,LOC_Os06g30370.1,LOC_Os01g54490.1,LOC_Os06g35940.1,LOC_Os05g44180.1","BGIOSGA034481-PA,BGIOSGA036625-PA,BGIOSGA015135-PA,BGIOSGA004454-PA,BGIOSGA017719-PA,BGIOSGA035142-PA,BGIOSGA014833-PA,BGIOSGA003015-PA,BGIOSGA007839-PA,BGIOSGA002959-PA,BGIOSGA021197-PA,BGIOSGA007632-PA,BGIOSGA035141-PA,BGIOSGA022349-PA,BGIOSGA006319-PA,BGIOSGA021057-PA,BGIOSGA006097-PA,BGIOSGA022351-PA,BGIOSGA036381-PA","Si007376m,Si004536m,Si020105m,Si008576m,Si011866m,Si004700m,Si028168m,Si012372m,Si012777m,Si003984m,Si005012m,Si007366m,Si008517m,Si027589m,Si025116m,Si011706m,Si008120m,Si020516m,Si020173m,","GRMZM2G021614,GRMZM2G179264,GRMZM2G338454,GRMZM2G080706,GRMZM2G075215,GRMZM2G141756,GRMZM2G156079,GRMZM2G075081,AC217051.3_FGP006,GRMZM2G103666,GRMZM2G127121,GRMZM2G019993,GRMZM2G021560,GRMZM2G373928,GRMZM2G059358,GRMZM2G400167,GRMZM2G062052,GRMZM2G051338,GRMZM2G108016,AC214791.2_FGP002,GRMZM2G158809,GRMZM2G132880,GRMZM2G440005,GRMZM2G092008,GRMZM2G117057,GRMZM2G152689,GRMZM2G056186","Sb02g029725.1,Sb06g020850.1,Sb10g003940.1,Sb06g012260.1,Sb03g002500.1,Sb03g001700.1,Sb05g003200.1,Sb08g008180.1,Sb03g034580.1,Sb03g008270.1,Sb04g021650.1,Sb10g021790.1,Sb04g025210.1,Sb09g025760.1,Sb08g003210.1,Sb04g008320.1,Sb06g015490.1,Sb0010s003120.1,Sb10g013070.1","BRADI4G39730.1,BRADI3G44860.1,BRADI4G39760.1,BRADI2G19670.1,BRADI4G35040.1,BRADI2G01020.1,BRADI1G38150.1,BRADI3G08890.1,BRADI4G39750.1,BRADI2G07070.1,BRADI4G42400.1,BRADI1G48830.1,BRADI3G48036.1,BRADI2G27860.1,BRADI5G14010.1,BRADI5G09270.1,BRADI1G42510.1,BRADI2G49795.1,","MLOC_57326.1,MLOC_71606.2,MLOC_74854.1,MLOC_58552.3,MLOC_44160.1,MLOC_13102.1,MLOC_68576.1,MLOC_64619.2,MLOC_35818.3",KOG3346,Flowering_time,development
150,Sunflower,Pl6,"AT2G14080,AT4G12010,AT4G16940,AT5G46510,AT5G51630,AT5G44510.1,AT4G16900,AT4G16960,AT5G46520,AT5G17680","GLYMA16G03780.1,GLYMA06G46665.1,GLYMA20G02472.1,GLYMA20G10833.1,GLYMA15G02870.1,GLYMA02G43630.2,GLYMA13G03770.1,GLYMA14G05321.1,GLYMA01G03964.1,GLYMA01G03980.2,GLYMA01G03921.1,GLYMA11G21361.1,GLYMA01G04000.1","Bra036799,Bra022039,Bra012541,Bra023632.1-P,Bra013959,Bra029431,Bra022034,Bra022037,Bra012689","Solyc04G007320.1.1,Solyc07G055380.1.1,Solyc04G056570.2.1,Solyc02G082050.2.1",,,,,,,,ENOG410J6H3,Pathogen_resistance,biotic_stress_response
151,Sunflower,CYC-like HaCYC2c,"AT3G18550.1,AT1G68800.1","GLYMA04G22407.1,GLYMA06G23410.2","Bra001710,Bra037579,Bra038350","Solyc04g006980.1.1,Solyc06g069240.1.1,Solyc05g009900.1.1,Solyc03g119770.2.1","LOC_Os09g24480.1,LOC_Os03g49880.1","BGIOSGA013417-PA,BGIOSGA030744-PA","Si038692m,Si033183m","GRMZM2G110242,AC233950.1_FGP002,GRMZM2G064628,AC190734.2_FGP003","Sb01g010690.1,Sb02g024450.1","BRADI4G29980.1,BRADI1G11060.1","MLOC_70116.1,MLOC_4614.1",ENOG410J0IG,Plant_morphology_(flowers),development
152,Linaria_vulgaris,Cycloidea (Lcyc),"AT3G18550.1,AT1G68800.1","GLYMA04G22407.1,GLYMA06G23410.2","Bra001710.1-P,Bra037579.1-P,Bra038350.1-P","Solyc04g006980.1.1,Solyc06g069240.1.1,Solyc05g009900.1.1,Solyc03g119770.2.1","LOC_Os09g24480.1,LOC_Os03g49880.1","BGIOSGA013417-PA,BGIOSGA030744-PA","Si038692m,Si033183m","GRMZM2G110242,GRMZM2G064628","Sb01g010690.1,Sb02g024450.1","BRADI4G29980.1,BRADI1G11060.1","MLOC_70116.1,MLOC_4614.1",ENOG410J0IG,Plant_morphology_(flowers),development
153,Solanum_lycopersicum,ripening inhibitor (rin),AT2G03710.1,,"Bra017376.1-P,Bra025126.1-P,Bra026543.1-P",Solyc05g012020.2.1,,,,,,,,COG5068,Fruit_ripening,development
154,Solanum_lycopersicum,LeSPL-CNR,AT2G33810.1,"GLYMA07G31880.1,GLYMA13G24590.2,GLYMA13G31090.1,GLYMA15G08270.1","Bra005470.1-P,Bra021880.1-P",Solyc02g077920.2.1,,,,,,,,ENOG410ZM8F,Fruit_ripening,development
155,Solanum_lycopersicum,SUN,AT5G03960.1,GLYMA10G16100.2,"Bra009498.1-P,Bra028807.1-P",Solyc10g079240.1.1,,,,,,,,ENOG41119TP,Fruit_shape,development
156,Solanum_lycopersicum,OVATE,AT2G18500.1,"GLYMA04G03531.1,GLYMA06G03600.2,GLYMA07G34120.2",Bra039604.1-P,Solyc02g085500.2.1,LOC_Os03g10150.1,BGIOSGA011277-PA,,GRMZM2G121706,Sb01g043950.1,BRADI1G71320.1,MLOC_58853.1,ENOG410IYG1,Fruit_shape,development
157,Solanum_lycopersicum,FW2.2,,GRMZM2G015941,,Solyc02g090730.2.1,LOC_Os02g52550.1,BGIOSGA009098-PA,Si018451m,GRMZM2G015941,Sb04g034060.1,BRADI3G58080.1,MLOC_4232.1,ENOG410YK39,Fruit_size,development
158,Solanum_lycopersicum,fasciated,AT1G08465.1,"GLYMA06G46560.1,GLYMA12G10210.3,GLYMA13G38750.1","Bra018624.1-P,Bra030728.1-P,Bra031629.1-P",Solyc11g071810.1.1,"LOC_Os03g44710.1,LOC_Os12g42610.1","BGIOSGA037817-PA,BGIOSGA013223-PA",Si023308m,"GRMZM2G074124,GRMZM2G116646,GRMZM2G141955",Sb08g022030.1,"BRADI1G13570.1,BRADI4G01300.1","MLOC_66260.1,MLOC_70676.2",ENOG410YHWI,Fruit_size_and_architecture,development
159,Solanum_lycopersicum,Brix9-2-5/LIN5 invertase,"AT2G36190.1,AT3G52600.1","GLYMA01G15883.1,GLYMA03G35520.1,GLYMA10G08670.2,GLYMA19G38160.1,GLYMA20G03553.1,GLYMA20G03580.2,GLYMA20G03620.2,GLYMA20G03640.2","Bra017257.1-P,Bra023053.1-P,Bra033419.1-P",Solyc09g010080.2.1,"LOC_Os02g33110.1_,LOC_Os03g52560.1_,LOC_Os04g33720.1_,LOC_Os04g33740.1","BGIOSGA008363-PA,BGIOSGA016363-PA,BGIOSGA016364-PA","Si009687m,Si009691m,Si009702m,Si012687m,Si016754m,Si039535m","GRMZM2G095725,GRMZM2G119689,GRMZM2G123633,GRMZM2G139300","Sb0067s002010.1,Sb0067s002110.1,Sb0067s002130.1,Sb0067s002240.1,Sb01g008910.1,Sb04g021810.1","BRADI1G09500.1,BRADI3G44990.1,BRADI5G09420.1,BRADI5G09430.1","MLOC_5612.4,MLOC_56998.3,MLOC_64782.2",COG1621,Fruit_sugar_content,color_texture_flavor_and_fragrance
160,Solanum_lycopersicum,Mi1.2,,,,Solyc11g069020.1.1,LOC_Os01g70080.1,BGIOSGA000221-PA,Si000219m,GRMZM2G016802,Sb03g044400.1,BRADI2G59310.1,MLOC_79654.2,ENOG411BC0V,Parasite_resistance,biotic_stress_response
